userId,itemId,rank,explanations,explanation_score,explanations_as_list,n_explanations
814.0,6.0,8.0,"{256, 12, 22, 24, 408, 26, 156, 29, 31, 161, 166, 297, 431, 49, 179, 52, 53, 182, 307, 56, 57, 309, 311, 189, 191, 320, 321, 200, 201, 329, 456, 76, 209, 471, 216, 217, 474, 347, 476, 221, 95, 356, 101, 102, 103, 357, 239, 112, 367, 244, 118, 247, 253, 254}","[0.3804, 0.5044, 0.3227, 0.525, 0.4784, 0.429, 0.2719, 0.3728, 0.5021, 0.48, 0.4982, 0.6323, 0.2194, 0.4301, 0.4774, 0.3826, 0.4831, 0.4609, 0.4751, 0.4773, 0.4308, 0.4699, 0.5682, 0.3279, 0.477, 0.4015, 0.5392, 0.319, 0.4011, 0.51, 0.4336, 0.418, 0.5421, 0.4689, 0.6531, 0.4308, 0.4885, 0.4232, 0.5205, 0.5268, 0.5202, 0.511, 0.433, 0.4693, 0.5084, 0.4793, 0.3486, 0.4495, 0.5, 0.49, 0.592, 0.4821, 0.612, 0.6364]","[256, 12, 22, 24, 408, 26, 156, 29, 31, 161, 166, 297, 431, 49, 179, 52, 53, 182, 307, 56, 57, 309, 311, 189, 191, 320, 321, 200, 201, 329, 456, 76, 209, 471, 216, 217, 474, 347, 476, 221, 95, 356, 101, 102, 103, 357, 239, 112, 367, 244, 118, 247, 253, 254]",54
817.0,629.0,4.0,"{200, 49}","[0.218, 0.3504]","[200, 49]",2
823.0,359.0,8.0,{492},[0.4948],[492],1
826.0,241.0,8.0,"{357, 101}","[0.272, 0.2038]","[357, 101]",2
828.0,571.0,9.0,{157},[0.2208],[157],1
829.0,399.0,10.0,"{161, 101, 102, 357, 297, 52, 347, 191}","[0.2303, 0.2953, 0.3835, 0.29, 0.3158, 0.4108, 0.3232, 0.2095]","[161, 101, 102, 357, 297, 52, 347, 191]",8
841.0,73.0,8.0,"{140, 52, 357}","[0.2237, 0.2783, 0.2057]","[140, 52, 357]",3
857.0,960.0,9.0,{157},[0.2056],[157],1
868.0,93.0,10.0,"{256, 161, 101, 102, 166, 357, 112, 179, 403, 216, 347, 156}","[0.386, 0.4173, 0.4457, 0.3621, 0.3776, 0.4154, 0.3896, 0.3898, 0.4084, 0.3805, 0.2838, 0.2552]","[256, 161, 101, 102, 166, 357, 112, 179, 403, 216, 347, 156]",12
873.0,125.0,8.0,"{216, 31}","[0.2869, 0.3023]","[216, 31]",2
878.0,5.0,4.0,"{256, 260, 273, 24, 408, 156, 29, 31, 288, 161, 34, 166, 174, 49, 179, 52, 57, 571, 189, 191, 329, 471, 216, 217, 100, 356, 102, 231, 361, 239, 112, 240, 367, 118, 247, 254}","[0.2438, 0.4, 0.3722, 0.4703, 0.2517, 0.2895, 0.4022, 0.44, 0.391, 0.427, 0.4826, 0.3455, 0.3656, 0.3769, 0.4954, 0.3815, 0.2787, 0.3816, 0.3588, 0.4458, 0.3967, 0.4023, 0.4719, 0.4006, 0.4427, 0.4313, 0.5385, 0.4757, 0.5243, 0.4386, 0.4516, 0.447, 0.4146, 0.3769, 0.4064, 0.495]","[256, 260, 273, 24, 408, 156, 29, 31, 288, 161, 34, 166, 174, 49, 179, 52, 57, 571, 189, 191, 329, 471, 216, 217, 100, 356, 102, 231, 361, 239, 112, 240, 367, 118, 247, 254]",36
897.0,725.0,5.0,{357},[0.1905],[357],1
919.0,36.0,4.0,"{161, 321, 99, 367, 118, 311, 189}","[0.4502, 0.4565, 0.3474, 0.2869, 0.3871, 0.3814, 0.4146]","[161, 321, 99, 367, 118, 311, 189]",7
920.0,241.0,7.0,{101},[0.272],[101],1
929.0,253.0,8.0,"{24, 403, 52}","[0.2463, 0.2654, 0.268]","[24, 403, 52]",3
929.0,693.0,10.0,"{24, 49, 52}","[0.2438, 0.2225, 0.239]","[24, 49, 52]",3
930.0,337.0,9.0,{357},[0.1981],[357],1
934.0,351.0,5.0,"{357, 101}","[0.2642, 0.2038]","[357, 101]",2
934.0,361.0,10.0,"{256, 161, 320, 99, 101, 166, 357, 200, 140, 240, 113, 273, 118, 57, 347, 156, 157}","[0.4465, 0.5261, 0.4145, 0.6022, 0.5261, 0.2812, 0.4618, 0.2294, 0.4169, 0.4577, 0.4088, 0.5022, 0.5115, 0.5243, 0.4537, 0.4141, 0.3257]","[256, 161, 320, 99, 101, 166, 357, 200, 140, 240, 113, 273, 118, 57, 347, 156, 157]",17
940.0,142.0,7.0,"{357, 101}","[0.2487, 0.2038]","[357, 101]",2
